run	t	state	category
claude-composite-r1	0.000	unknown	unknown
claude-composite-r1	0.255	working	working
claude-composite-r1	1.271	idle	idle
claude-composite-r1	9.161	working	working
claude-composite-r1	10.172	idle	idle
claude-composite-r1	17.051	working	working
claude-composite-r1	18.066	idle	idle
claude-composite-r1	25.686	working	working
claude-composite-r1	31.282	unknown	unknown
claude-composite-r1	31.788	working	working
claude-composite-r1	34.849	unknown	unknown
claude-composite-r1	35.102	working	working
claude-composite-r1	38.419	unknown	unknown
claude-composite-r1	38.923	working	working
claude-composite-r1	40.703	unknown	unknown
claude-composite-r1	41.213	working	working
claude-composite-r1	42.729	unknown	unknown
claude-composite-r1	43.244	working	working
claude-composite-r1	44.259	unknown	unknown
claude-composite-r1	44.768	working	working
claude-composite-r1	46.287	unknown	unknown
claude-composite-r1	46.796	working	working
claude-composite-r1	49.079	completed	readyForReview
claude-composite-r1	100.923	working	working
claude-composite-r1	106.249	permission	needsAttention
claude-composite-r1	146.633	working	working
claude-composite-r1	149.176	completed	readyForReview
claude-composite-r1	156.526	working	working
claude-composite-r1	157.546	completed	readyForReview
claude-composite-r1	259.758	END	END
claude-composite-r2	0.000	unknown	unknown
claude-composite-r2	0.255	working	working
claude-composite-r2	2.028	idle	idle
claude-composite-r2	9.902	working	working
claude-composite-r2	10.918	idle	idle
claude-composite-r2	18.004	working	working
claude-composite-r2	19.020	idle	idle
claude-composite-r2	25.604	working	working
claude-composite-r2	31.178	unknown	unknown
claude-composite-r2	31.688	working	working
claude-composite-r2	33.458	unknown	unknown
claude-composite-r2	33.713	working	working
claude-composite-r2	35.487	unknown	unknown
claude-composite-r2	35.741	working	working
claude-composite-r2	36.756	unknown	unknown
claude-composite-r2	37.512	working	working
claude-composite-r2	40.046	unknown	unknown
claude-composite-r2	40.553	working	working
claude-composite-r2	45.129	unknown	unknown
claude-composite-r2	45.397	working	working
claude-composite-r2	46.917	completed	readyForReview
claude-composite-r2	101.038	working	working
claude-composite-r2	106.867	permission	needsAttention
claude-composite-r2	146.654	working	working
